"Any","Codi comarca","Comarca","Població","Domèstic xarxa","Activitats econòmiques i fonts pròpies","Total","Consum domèstic per càpita"
"2024","1","ALT CAMP, L'","46.338","1.588.721","2.602.737","4.191.458","93,93"
"2024","2","ALT EMPORDÀ, L'","148.856","7.532.744","4.005.563","11.538.307","138,64"
"2024","3","ALT PENEDÈS, L'","114.215","4.217.395","2.723.893","6.941.288","101,16"
"2024","4","ALT URGELL, L'","21.214","1.007.067","1.299.444","2.306.511","130,06"
"2024","5","ALTA RIBAGORÇA, L'","4.002","466.835","429.561","896.396","319,59"
"2024","6","ANOIA, L'","128.199","4.611.510","5.372.723","9.984.233","98,55"
"2024","7","BAGES, EL","185.973","6.622.854","5.217.056","11.839.910","97,57"
"2024","8","BAIX CAMP, EL","204.369","9.555.861","5.857.239","15.413.100","128,1"
"2024","9","BAIX EBRE, EL","82.004","3.348.065","4.760.008","8.108.073","111,86"
"2024","10","BAIX EMPORDÀ, EL","144.112","9.317.428","5.373.647","14.691.075","177,13"
"2024","11","BAIX LLOBREGAT, EL","850.605","30.549.921","21.494.736","52.044.657","98,4"
"2024","12","BAIX PENEDÈS, EL","118.595","7.171.567","2.152.161","9.323.728","165,67"
"2024","13","BARCELONÈS, EL","2.369.316","84.100.573","35.728.325","119.828.898","97,25"
"2024","14","BERGUEDÀ, EL","41.013","1.399.649","1.153.078","2.552.727","93,5"
"2024","15","CERDANYA, LA","20.068","1.419.700","2.217.853","3.637.553","193,82"
"2024","16","CONCA DE BARBERÀ, LA","20.506","678.748","646.615","1.325.363","90,68"
"2024","17","GARRAF, EL","161.973","7.283.007","2.499.909","9.782.917","123,19"
"2024","18","GARRIGUES, LES","19.037","692.493","906.553","1.599.045","99,66"
"2024","19","GARROTXA, LA","62.481","2.304.718","3.655.695","5.960.413","101,06"
"2024","20","GIRONÈS, EL","206.168","7.114.251","6.068.228","13.182.479","94,54"
"2024","21","MARESME, EL","474.012","19.265.746","7.913.238","27.178.984","111,35"
"2024","22","MONTSIÀ, EL","71.342","2.834.378","1.913.180","4.747.558","108,85"
"2024","23","NOGUERA, LA","39.781","1.675.582","1.579.965","3.255.547","115,4"
"2024","24","OSONA","164.344","5.796.095","7.294.190","13.090.285","96,62"
"2024","25","PALLARS JUSSÀ, EL","13.301","798.025","283.259","1.081.284","164,38"
"2024","26","PALLARS SOBIRÀ, EL","7.275","570.604","704.545","1.275.149","214,89"
"2024","27","PLA D'URGELL, EL","38.011","1.588.708","3.673.783","5.262.491","114,51"
"2024","28","PLA DE L'ESTANY, EL","33.478","1.359.201","1.385.741","2.744.942","111,23"
"2024","29","PRIORAT, EL","9.390","299.529","134.744","434.273","87,39"
"2024","30","RIBERA D'EBRE, LA","22.125","935.846","1.313.913","2.249.759","115,89"
"2024","31","RIPOLLÈS, EL","25.766","1.056.026","1.114.144","2.170.170","112,29"
"2024","32","SEGARRA, LA","24.059","902.396","2.492.384","3.394.780","102,76"
"2024","33","SEGRIÀ, EL","217.441","9.508.815","7.533.652","17.042.467","119,81"
"2024","34","SELVA, LA","185.873","8.706.356","9.210.275","17.916.631","128,33"
"2024","35","SOLSONÈS, EL","13.976","514.093","609.206","1.123.299","100,78"
"2024","36","TARRAGONÈS, EL","275.418","13.021.815","38.195.240","51.217.055","129,53"
"2024","37","TERRA ALTA","11.444","386.070","219.530","605.600","92,43"
"2024","38","URGELL, L'","38.555","1.524.187","1.249.826","2.774.013","108,31"
"2024","39","VAL D'ARAN, LA","10.565","1.403.917","1.006.346","2.410.263","364,07"
"2024","40","VALLÈS OCCIDENTAL, EL","961.459","34.343.991","19.264.853","53.608.844","97,86"
"2024","41","VALLÈS ORIENTAL, EL","427.584","15.736.712","11.448.388","27.185.100","100,83"
"2024","42","Moianès","14.790","545.661","582.399","1.128.060","101,08"
"2024","43","LLUÇANÈS, EL","5.710","178.336","313.942","492.278","85,57"
"2023","1","ALT CAMP, L'","46.117","1.678.963","2.692.171","4.371.134","99,74"
"2023","2","ALT EMPORDÀ, L'","146.552","8.021.123","4.343.524","12.364.647","149,95"
"2023","3","ALT PENEDÈS, L'","112.638","4.362.371","2.950.711","7.313.082","106,11"
"2023","4","ALT URGELL, L'","20.855","994.675","1.368.872","2.363.547","130,67"
"2023","5","ALTA RIBAGORÇA, L'","3.966","466.511","249.055","715.566","322,27"
"2023","6","ANOIA, L'","126.695","4.757.347","5.827.828","10.585.175","102,88"
"2023","7","BAGES, EL","183.711","6.962.855","6.414.833","13.377.688","103,84"
"2023","8","BAIX CAMP, EL","201.361","9.396.005","5.732.920","15.128.925","127,84"
"2023","9","BAIX EBRE, EL","80.974","3.372.120","4.650.031","8.022.151","114,09"
"2023","10","BAIX EMPORDÀ, EL","141.521","9.808.033","6.257.373","16.065.406","189,88"
"2023","11","BAIX LLOBREGAT, EL","841.731","31.753.625","22.439.518","54.193.143","103,35"
"2023","12","BAIX PENEDÈS, EL","115.802","6.554.775","2.242.496","8.797.271","155,08"
"2023","13","BARCELONÈS, EL","2.318.321","86.258.742","39.957.190","126.215.932","101,94"
"2023","14","BERGUEDÀ, EL","40.577","1.378.139","1.216.163","2.594.302","93,05"
"2023","15","CERDANYA, LA","19.848","1.384.865","2.271.943","3.656.808","191,16"
"2023","16","CONCA DE BARBERÀ, LA","20.436","674.190","723.098","1.397.288","90,38"
"2023","17","GARRAF, EL","159.140","7.482.336","2.439.058","9.921.394","128,81"
"2023","18","GARRIGUES, LES","18.887","671.910","876.384","1.548.294","97,47"
"2023","19","GARROTXA, LA","61.365","2.424.393","3.897.146","6.321.539","108,24"
"2023","20","GIRONÈS, EL","201.884","7.158.440","6.576.946","13.735.386","97,15"
"2023","21","MARESME, EL","467.914","20.212.311","8.692.637","28.904.948","118,35"
"2023","22","MONTSIÀ, EL","70.023","2.734.153","2.094.619","4.828.772","106,98"
"2023","23","NOGUERA, LA","39.650","1.727.125","1.580.697","3.307.822","119,34"
"2023","24","OSONA","161.988","5.936.076","7.773.601","13.709.677","100,4"
"2023","25","PALLARS JUSSÀ, EL","13.370","816.307","251.175","1.067.482","167,27"
"2023","26","PALLARS SOBIRÀ, EL","7.248","579.310","597.753","1.177.063","218,98"
"2023","27","PLA D'URGELL, EL","37.456","1.560.682","3.583.175","5.143.857","114,16"
"2023","28","PLA DE L'ESTANY, EL","33.213","1.377.652","1.485.171","2.862.823","113,64"
"2023","29","PRIORAT, EL","9.315","318.490","132.137","450.627","93,67"
"2023","30","RIBERA D'EBRE, LA","22.028","946.700","1.690.081","2.636.781","117,75"
"2023","31","RIPOLLÈS, EL","25.692","1.088.068","1.210.353","2.298.421","116,03"
"2023","32","SEGARRA, LA","23.931","844.358","2.726.847","3.571.205","96,67"
"2023","33","SEGRIÀ, EL","215.219","9.507.871","8.125.913","17.633.784","121,03"
"2023","34","SELVA, LA","183.055","8.781.301","9.491.492","18.272.793","131,43"
"2023","35","SOLSONÈS, EL","13.677","537.502","708.782","1.246.284","107,67"
"2023","36","TARRAGONÈS, EL","270.038","13.154.920","42.299.425","55.454.345","133,47"
"2023","37","TERRA ALTA","11.472","386.851","227.648","614.499","92,39"
"2023","38","URGELL, L'","38.013","1.490.954","1.226.330","2.717.284","107,46"
"2023","39","VAL D'ARAN, LA","10.500","1.404.799","1.081.462","2.486.261","366,55"
