any;àmbit territorial de planificació;branques d'activitat;concepte;estat;valor
2011;Metropolità;"comerç a l'engròs i al detall; reparació de vehicles de motor i motocicletes";valor afegit brut (milions €);;20541,9
2011;Metropolità;transport, informació i comunicacions;valor afegit brut (milions €);;13439,3
2011;Metropolità;hostaleria;valor afegit brut (milions €);;7022,3
2011;Metropolità;activitats financeres i d'assegurances;valor afegit brut (milions €);;5999,8
2011;Metropolità;activitats immobiliàries, tècniques i administratives;valor afegit brut (milions €);;29543,3
2011;Metropolità;administració pública i altres serveis;valor afegit brut (milions €);;25644,4
2011;Metropolità;total;valor afegit brut (milions €);;102191
2011;Comarques Gironines;"comerç a l'engròs i al detall; reparació de vehicles de motor i motocicletes";valor afegit brut (milions €);;2375,1
2011;Comarques Gironines;transport, informació i comunicacions;valor afegit brut (milions €);;771,5
2011;Comarques Gironines;hostaleria;valor afegit brut (milions €);;1276,4
2011;Comarques Gironines;activitats financeres i d'assegurances;valor afegit brut (milions €);;521,3
2011;Comarques Gironines;activitats immobiliàries, tècniques i administratives;valor afegit brut (milions €);;2932,6
2011;Comarques Gironines;administració pública i altres serveis;valor afegit brut (milions €);;3100,2
2011;Comarques Gironines;total;valor afegit brut (milions €);;10977,1
2011;Camp de Tarragona;"comerç a l'engròs i al detall; reparació de vehicles de motor i motocicletes";valor afegit brut (milions €);;1491,3
2011;Camp de Tarragona;transport, informació i comunicacions;valor afegit brut (milions €);;867,1
2011;Camp de Tarragona;hostaleria;valor afegit brut (milions €);;901,6
2011;Camp de Tarragona;activitats financeres i d'assegurances;valor afegit brut (milions €);;329,7
2011;Camp de Tarragona;activitats immobiliàries, tècniques i administratives;valor afegit brut (milions €);;2148,2
2011;Camp de Tarragona;administració pública i altres serveis;valor afegit brut (milions €);;2618,2
2011;Camp de Tarragona;total;valor afegit brut (milions €);;8356
2011;Terres de l'Ebre;"comerç a l'engròs i al detall; reparació de vehicles de motor i motocicletes";valor afegit brut (milions €);;479,4
2011;Terres de l'Ebre;transport, informació i comunicacions;valor afegit brut (milions €);;182
2011;Terres de l'Ebre;hostaleria;valor afegit brut (milions €);;149,4
2011;Terres de l'Ebre;activitats financeres i d'assegurances;valor afegit brut (milions €);;101
2011;Terres de l'Ebre;activitats immobiliàries, tècniques i administratives;valor afegit brut (milions €);;502,5
2011;Terres de l'Ebre;administració pública i altres serveis;valor afegit brut (milions €);;713
2011;Terres de l'Ebre;total;valor afegit brut (milions €);;2127,4
2011;Ponent;"comerç a l'engròs i al detall; reparació de vehicles de motor i motocicletes";valor afegit brut (milions €);;1317
2011;Ponent;transport, informació i comunicacions;valor afegit brut (milions €);;506,5
2011;Ponent;hostaleria;valor afegit brut (milions €);;279,2
2011;Ponent;activitats financeres i d'assegurances;valor afegit brut (milions €);;219,2
2011;Ponent;activitats immobiliàries, tècniques i administratives;valor afegit brut (milions €);;1186,5
2011;Ponent;administració pública i altres serveis;valor afegit brut (milions €);;1792,7
2011;Ponent;total;valor afegit brut (milions €);;5301
2011;Comarques Centrals;"comerç a l'engròs i al detall; reparació de vehicles de motor i motocicletes";valor afegit brut (milions €);;1255,3
2011;Comarques Centrals;transport, informació i comunicacions;valor afegit brut (milions €);;477
2011;Comarques Centrals;hostaleria;valor afegit brut (milions €);;317,6
